"title","one_liner","image_url","location","booking_url","description","date_start","time_start","attending","source","source_event_id"
"Student Housing and Financial Precarity: Research, Policy and Practice","Free",,"Gilbert Scott Building (One A The Square) https://maps.app.goo.gl/q99qTmsN1pm1g4KJA, University Of Glasgow, Glasgow, G12 8QQ","https://www.eventbrite.co.uk/e/student-housing-and-financial-precarity-research-policy-and-practice-tickets-1990968941700?aff=ebdssbdestsearch","This event is free of charge, but advance registration is required.","2026-09-18","10:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/student-housing-and-financial-precarity-research-policy-and-practice-tickets-1990968941700?aff=ebdssbdestsearch"
"Outdoor Morning Yogic Stretch & Meditation","£5","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184737316%2F562472392185%2F1%2Foriginal.20260516-054920?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.465&fp-y=0.503&s=e69fe432b275787bcccf93e2ed75099f","The Adam Smith Global Foundation, 1 Adam Smith Close, Kirkcaldy, KY1 1HL","https://www.eventbrite.co.uk/e/outdoor-morning-yogic-stretch-meditation-tickets-1989731850527?aff=ebdssbdestsearch","In the Walled Garden, Adam Smith Heritage Centre, Kirkcaldy to welcome the day with intention, movement and peace.","2026-06-20","09:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/outdoor-morning-yogic-stretch-meditation-tickets-1989731850527?aff=ebdssbdestsearch"
"Enchanted - Mini Show - Rachel Harris school of Dance","£9.38","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184583664%2F3001075680267%2F1%2Foriginal.png?w=940&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C940%2C470&s=d57c711adaddf67af69591bc80ae3b25","Gardyne Theatre Ltd, Gardyne Road, Broughty Ferry, DD5 1NY","https://www.eventbrite.com/e/enchanted-mini-show-rachel-harris-school-of-dance-tickets-1989536368836?aff=ebdssbdestsearch","Get ready for a magical night with Rachel Harris School of Dance’s Enchanted Mini Show—live and in person!","2026-06-27","15:00:00+01:00",,"eventbrite","https://www.eventbrite.com/e/enchanted-mini-show-rachel-harris-school-of-dance-tickets-1989536368836?aff=ebdssbdestsearch"
"Summer Piano Concert","£0 - £6.13","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184945728%2F3002467821515%2F1%2Foriginal.20260519-143305?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=a6ecdce42c744ed87b166cd97a78f058","The Cowane Centre, 69 Cowane St, Stirling, FK8 1JP","https://www.eventbrite.com/e/summer-piano-concert-tickets-1989823762438?aff=ebdssbdestsearch","Join us for a fantastic evening of live piano music with the students of The Stirling Piano Studio!","2026-06-23","19:00:00+01:00",,"eventbrite","https://www.eventbrite.com/e/summer-piano-concert-tickets-1989823762438?aff=ebdssbdestsearch"
"School Business Leadership Summit","From £130.72","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1186142263%2F2985106545371%2F1%2Foriginal.20260604-103641?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=b1f1187967daf3e4d5ccb60834d3ae5a","DoubleTree by Hilton Edinburgh - Queensferry Crossing, St Margaret's Head, North Queensferry, KY11 1HP","https://www.eventbrite.co.uk/e/school-business-leadership-summit-tickets-1990468370478?aff=ebdssbdestsearch","Join SLS and Pam Burrows in an exciting summit for School Business Leaders, Business Support Managers and Bursars.","2026-08-31","09:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/school-business-leadership-summit-tickets-1990468370478?aff=ebdssbdestsearch"
"Edinburgh Pub Crawl","From £14.25","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1174639437%2F2801306951791%2F1%2Foriginal.20260112-171639?w=940&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C91%2C1920%2C960&s=eb48df046d0a779b88d306815cace88a","Pilgrim Bar, 3 Robertson's Close, Edinburgh, EH1 1LY","https://www.eventbrite.co.uk/e/edinburgh-pub-crawl-tickets-1980396232442?aff=ebdssbdestsearch","Party across 5 venues with free entry, free shots, drink deals, a photographer, top DJs, and new friends—Edinburgh’s ultimate pub crawl.","2026-01-16","19:30:00Z",,"eventbrite","https://www.eventbrite.co.uk/e/edinburgh-pub-crawl-tickets-1980396232442?aff=ebdssbdestsearch"
"Spotlight for Change: Spotlight for Dementia UK","From £9.38","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184427019%2F3000072087955%2F1%2Foriginal.20260512-183955?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=c2442fd1d7deb9c25c451e6e0492c7d0","Strathclyde Students' Union, 51 Richmond Street, The Venue, Glasgow, G1 1XU","https://www.eventbrite.com/e/spotlight-for-change-spotlight-for-dementia-uk-tickets-1988282495467?aff=ebdssbdestsearch","Spotlight for Change is a Glasgow based group of amateur musical theatre performers putting on cabaret nights to raise money for charity.","2026-06-06","20:00:00+01:00",,"eventbrite","https://www.eventbrite.com/e/spotlight-for-change-spotlight-for-dementia-uk-tickets-1988282495467?aff=ebdssbdestsearch"
"Liberton High School Prizegiving + Leavers Ceremony","Free","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180642129%2F2921238275271%2F1%2Foriginal.20260325-095229?w=940&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C120%2C1920%2C960&s=6ed142f7b6f85a0cc7ef996fe725ed33","Liberton High School, 328 Gilmerton Road, Edinburgh, EH17 7PT","https://www.eventbrite.com/e/liberton-high-school-prizegiving-leavers-ceremony-tickets-1985895566097?aff=ebdssbdestsearch","Grab your tickets to Liberton High School's Annual Prizegiving and Leavers event.","2026-06-10","19:00:00+01:00",,"eventbrite","https://www.eventbrite.com/e/liberton-high-school-prizegiving-leavers-ceremony-tickets-1985895566097?aff=ebdssbdestsearch"
"Historical Walking Tour","Sold out","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182126305%2F2263777175223%2F1%2Foriginal.20260414-124152?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=1c8fe060e9085091a6d7ec320bdfd989","Old College, The University of Edinburgh, South Bridge, Edinburgh, EH8 9YL","https://www.eventbrite.co.uk/e/historical-walking-tour-tickets-1986993913283?aff=ebdssbdestsearch","Join us on this new walking tour from Old College to George Square, specially created for the Edinburgh Medical School’s 300th anniversary.","2026-06-06","10:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/historical-walking-tour-tickets-1986993913283?aff=ebdssbdestsearch"
"Unified Dating - Meet Singles in Dunfermline","From £9.34","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182673492%2F2997856053545%2F1%2Foriginal.20260421-140911?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.015&fp-y=0.521&s=4dcd53fecbcd77228f7bd3384db758e5","Dunfermline, Dunfermline, Dunfermline, KY12","https://www.eventbrite.com/e/unified-dating-meet-singles-in-dunfermline-tickets-1990180952804?aff=ebdssbdestsearch","These events by Unified Dating offers a relaxed and friendly way to easily meet new people locally.","2026-05-26","11:00:00+01:00",,"eventbrite","https://www.eventbrite.com/e/unified-dating-meet-singles-in-dunfermline-tickets-1990180952804?aff=ebdssbdestsearch"
"Parent/Guardian Carer Drop-In | Carers Week 2026","Free","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181357849%2F579745658543%2F1%2Foriginal.20260403-092136?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=a7b27a7317148ae89287fe0986b71fcd","Kirkcaldy Galleries, Abbotshall Road, Kirkcaldy, KY1 1YG","https://www.eventbrite.co.uk/e/parentguardian-carer-drop-in-carers-week-2026-tickets-1986628988784?aff=ebdssbdestsearch","Join us for a relaxed drop-in morning as part of Carers Week, just for parent and guardian carers in Fife.","2026-06-09","10:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/parentguardian-carer-drop-in-carers-week-2026-tickets-1986628988784?aff=ebdssbdestsearch"
"ECA Graduate Show 2026","Free","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181763193%2F152624539158%2F1%2Foriginal.20260409-082441?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.932&fp-y=0.518&s=e150c5775c6e2307654dd10f6f8dbdd6","Main Building, Lauriston Campus, Edinburgh College of Art, 74 Lauriston Place, Edinburgh, EH3 9DF","https://www.eventbrite.co.uk/e/eca-graduate-show-2026-tickets-1983086851155?aff=ebdssbdestsearch","Edinburgh College of Art welcomes visitors to a showcase of work by graduating students.","2026-05-29","10:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/eca-graduate-show-2026-tickets-1983086851155?aff=ebdssbdestsearch"
"Clubbercise","Free","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183907514%2F2538184175751%2F1%2Foriginal.20260506-121543?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=d31e170fbd9ff9209d95eed73139d086","Dunfermline Learning Campus, Calaiswood Crescent, Dunfermline, KY11 8WH","https://www.eventbrite.co.uk/e/clubbercise-tickets-1988906678415?aff=ebdssbdestsearch","Clubbercise: a high energy dance fitness class held in darkened room with led glowsticks combining easy follow aerobics, toning and combat","2026-06-23","13:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/clubbercise-tickets-1988906678415?aff=ebdssbdestsearch"
"Newcraighall Primary  Quiz Night","£10","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183245373%2F35133567394%2F1%2Foriginal.20260428-170100?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.478&fp-y=0.064&s=0c32ca16efc29d94e54f654305795d47","Ravelston House, 182 North High Street, Musselburgh, EH21 6BH","https://www.eventbrite.com/e/newcraighall-primary-quiz-night-tickets-1988417828251?aff=ebdssbdestsearch","Join us at The Ravelston for a fun quiz night full  of laughs and friendly competition! All proceeds go to our school.","2026-06-12","19:00:00+01:00",,"eventbrite","https://www.eventbrite.com/e/newcraighall-primary-quiz-night-tickets-1988417828251?aff=ebdssbdestsearch"
"Equality, Diversity, Inclusion (EDI) and PhD Assessment","Free","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1185228386%2F1475410036713%2F1%2Foriginal.png?w=940&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C940%2C470&s=398559432a961f0a6d29eee83f9164ae","The Royal Society of Edinburgh, 22-26 George Street, Edinburgh, EH2 2PQ","https://www.eventbrite.com/e/equality-diversity-inclusion-edi-and-phd-assessment-tickets-1990185067110?aff=ebdssbdestsearch","As part of the In Frame funded project, 'Interrogating the Viva', we invite you to join the EDI & PhD Assessment live event.","2026-06-19","10:00:00+01:00",,"eventbrite","https://www.eventbrite.com/e/equality-diversity-inclusion-edi-and-phd-assessment-tickets-1990185067110?aff=ebdssbdestsearch"
