"title","one_liner","image_url","location","booking_url","description","date_start","time_start","attending","source","source_event_id"
"TheLoftParty Leith - Horse Meat Disco + Groove Assassin","","https://images.ra.co/5002a49ac81102f378bd23d8802bc5d18c335dae.jpg","Port of Leith Distillery, 11 Whisky Quay, Edinburgh, EH6 6FH","https://ra.coevents/2330334","Soul Heaven & Luvin'Leith Events combine to bring a spectacular night of uplifting house and disco inspired by Mancuso's Loft in NYC. ","2026-02-28","20:30:00.000",58,"ra","2330334"
"Soul Jam","£5/7","https://images.ra.co/b42acc062c2aa8cdbffcfeec2bc19fbef12b58d5.jpg","Sneaky Pete's, 73 Cowgate; Edinburgh, EH1 1JW; Scotland; United Kingdom","https://ra.coevents/2364477","Back to basics with your favourite record slinging disco merchants. New bits, old bits, in between bits but all the best bits, all the night long.","2026-02-28","23:00:00.000",11,"ra","2364477"
"Ann Tweak","£6-£8","https://images.ra.co/102be581b795a88f3d7d1cf6b5ac99bc447080fe.png","The Jazz Bar, 1a Chambers Street; Edinburgh, EH1 1HR; Scotland","https://ra.coevents/2380212","","2026-02-28","23:30:00.000",0,"ra","2380212"
"Bartek","£0","https://images.ra.co/27545d7e33328589098f750e16fbca5ce560deb2.png","The Voodoo Rooms, 19a West Register St; Edinburgh, EH2 2AA; Scotland","https://ra.coevents/2380174","","2026-02-28","21:00:00.000",0,"ra","2380174"
"Ooft!","£0","https://images.ra.co/a40a272dc45f2b6b93b2cb3e4307c0534f69ca5a.png","Lady Libertine, 25 W Register St, Edinburgh, EH2 2AA, United Kingdom","https://ra.coevents/2380159","","2026-02-28","21:00:00.000",0,"ra","2380159"
"Open Decks Open Dance","£0","https://images.ra.co/d0366b08746b2791c6d83516aa65c9d158c56a3a.png","The Mash House, 37 Guthrie Street, Edinburgh, EH1 1JQ, Scotland, United Kingdom","https://ra.coevents/2380197","","2026-02-28","14:30:00.000",0,"ra","2380197"
"Titty Titty Bang Bang","£0","https://images.ra.co/d8c754d11c106e708fbeb80472ac85b072803696.png","The Street, 2 Picardy Place, Edinburgh, EH1 3JT","https://ra.coevents/2380208","","2026-02-28","23:00:00.000",0,"ra","2380208"
"noodle b2b Iris Pertegaz","£0","https://images.ra.co/eaf46122e12d464cc29b255213299d4e12c7794e.png","Paradise Palms, 41 Lothian Street, EH6 6BU, Edinburgh, Scotland, United Kingdom","https://ra.coevents/2380148","","2026-02-28","22:00:00.000",0,"ra","2380148"
"Sweatpea's Paradise Pulse","£5","https://images.ra.co/4c4bfce1da2c0f61617783d3a90bf136a1b53c79.jpg","West Port Oracle, 27 West Port, Edinburgh EH1 2LD","https://ra.coevents/2358214","","2026-02-28","21:00:00.000",1,"ra","2358214"
"B Burg and Meaks","£0","https://images.ra.co/6956d1a5e0211fdb685878049a4441cd4dd0af6e.jpg","Bramble, 16A Queen St, Edinburgh EH2 1JE","https://ra.coevents/2380166","","2026-02-28","15:00:00.000",0,"ra","2380166"
"DAYTRIPPER","£0","https://images.ra.co/1372f6ecfe5005127b87f545a168da1e4001caac.png","Leith Social Club, 17-17a, Academy St, Leith, Edinburgh EH6 7EF","https://ra.coevents/2380187","","2026-02-28","15:00:00.000",0,"ra","2380187"
"Matthew Orell","£0","https://images.ra.co/e0ce03b371fb89226f3e3d56327076e279236e6f.jpg","West Port Oracle, 27 West Port, Edinburgh EH1 2LD","https://ra.coevents/2380153","","2026-02-28","21:00:00.000",0,"ra","2380153"
"Volley Saturdays","£0","https://images.ra.co/12f87df8713b28ab2df83c351282cb1f77a4a20c.png","The Volley Leith, 180 Leith Walk, Edinburgh EH6 5EA","https://ra.coevents/2380179","","2026-02-28","20:00:00.000",0,"ra","2380179"
"go went gong and friends + Bell Lungs","£13.60","https://images.ra.co/53ec28b8fae22f1e6667d1d9439b0e2a4ca3e332.jpg","Pianodrome Bruntsfield Community Hub, 41 Montpelier Park, Edinburgh EH10 4NB","https://ra.coevents/2380214","go went gong will perform at Pianodrome as an expanded ensemble with live visuals, presenting extended material from the forthcoming album All Things Ecstatic.","2026-02-28","19:00:00.000",0,"ra","2380214"
"Axel Boman: Free Time","","https://images.ra.co/757fb4af8798cfb29afe4740c89d92ce67690a7e.png","Sneaky Pete's, 73 Cowgate; Edinburgh, EH1 1JW; Scotland; United Kingdom","https://ra.coevents/2211904","New date! 

Axel Boman – Studio Barnhus co-founder and longtime Sneaks favourite – returns this March for a special daytime party at Free Time.","2026-03-01","18:00:00.000",143,"ra","2211904"
